Lon Lat vE vN
22.00 37.00 4.23 -11.74
22.05 37.00 4.42 -11.78
22.10 37.00 4.59 -11.82
22.15 37.00 4.80 -11.78
22.20 37.00 5.02 -11.71
22.25 37.00 5.21 -11.67
22.30 37.00 5.36 -11.66
22.35 37.00 5.50 -11.67
22.40 37.00 5.63 -11.72
22.45 37.00 5.71 -11.83
22.50 37.00 5.79 -11.91
22.55 37.00 5.87 -12.00
22.60 37.00 5.94 -12.09
22.65 37.00 6.02 -12.16
22.70 37.00 6.08 -12.22
22.75 37.00 6.13 -12.27
22.80 37.00 6.17 -12.32
22.85 37.00 6.19 -12.36
22.90 37.00 6.21 -12.39
22.95 37.00 6.21 -12.41
23.00 37.00 6.21 -12.43
23.05 37.00 6.20 -12.43
23.10 37.00 6.18 -12.39
21.50 37.05 3.09 -10.58
21.55 37.05 3.11 -10.92
21.60 37.05 3.08 -11.23
21.65 37.05 2.99 -11.45
21.70 37.05 3.12 -11.36
21.75 37.05 3.39 -11.40
21.80 37.05 3.56 -11.49
21.85 37.05 3.68 -11.62
21.90 37.05 3.89 -11.66
21.95 37.05 4.08 -11.69
22.00 37.05 4.27 -11.75
22.05 37.05 4.48 -11.75
22.10 37.05 4.66 -11.81
22.15 37.05 4.88 -11.76
22.20 37.05 5.10 -11.69
22.25 37.05 5.29 -11.64
22.30 37.05 5.45 -11.63
22.35 37.05 5.67 -11.56
22.40 37.05 5.78 -11.65
22.45 37.05 5.82 -11.80
22.50 37.05 5.90 -11.88
22.55 37.05 5.96 -11.98
22.60 37.05 6.02 -12.06
22.65 37.05 6.09 -12.12
22.70 37.05 6.14 -12.17
22.75 37.05 6.19 -12.22
22.80 37.05 6.22 -12.29
22.85 37.05 6.23 -12.34
22.90 37.05 6.22 -12.37
22.95 37.05 6.25 -12.40
23.00 37.05 6.27 -12.44
23.05 37.05 6.26 -12.52
21.50 37.10 3.41 -10.56
21.55 37.10 3.39 -10.80
21.60 37.10 3.32 -11.07
21.65 37.10 3.24 -11.29
21.70 37.10 3.27 -11.29
21.75 37.10 3.55 -11.37
21.80 37.10 3.71 -11.46
21.85 37.10 3.84 -11.59
21.90 37.10 3.99 -11.67
21.95 37.10 4.15 -11.72
22.00 37.10 4.35 -11.73
22.05 37.10 4.59 -11.72
22.10 37.10 4.81 -11.70
22.15 37.10 5.02 -11.69
22.20 37.10 5.18 -11.66
22.25 37.10 5.36 -11.61
22.30 37.10 5.54 -11.58
22.35 37.10 5.72 -11.59
22.40 37.10 5.92 -11.63
22.45 37.10 5.94 -11.76
22.50 37.10 6.00 -11.85
22.55 37.10 6.05 -11.94
22.60 37.10 6.11 -12.02
22.65 37.10 6.17 -12.08
22.70 37.10 6.23 -12.12
22.75 37.10 6.28 -12.18
22.80 37.10 6.31 -12.27
22.85 37.10 6.33 -12.34
22.90 37.10 6.35 -12.37
22.95 37.10 6.39 -12.40
23.00 37.10 6.41 -12.45
23.05 37.10 6.41 -12.55
21.50 37.15 3.71 -10.46
21.55 37.15 3.72 -10.71
21.60 37.15 3.71 -10.93
21.65 37.15 3.74 -11.10
21.70 37.15 3.79 -11.21
21.75 37.15 3.84 -11.32
21.80 37.15 3.95 -11.41
21.85 37.15 4.05 -11.51
21.90 37.15 4.15 -11.62
21.95 37.15 4.26 -11.74
22.00 37.15 4.41 -11.78
22.05 37.15 4.71 -11.68
22.10 37.15 4.96 -11.63
22.15 37.15 5.17 -11.60
22.20 37.15 5.27 -11.59
22.25 37.15 5.41 -11.53
22.30 37.15 5.61 -11.55
22.35 37.15 5.79 -11.58
22.40 37.15 5.95 -11.62
22.45 37.15 6.06 -11.71
22.50 37.15 6.09 -11.82
22.55 37.15 6.15 -11.91
22.60 37.15 6.21 -11.98
22.65 37.15 6.27 -12.04
22.70 37.15 6.34 -12.11
22.75 37.15 6.39 -12.18
22.80 37.15 6.44 -12.27
22.85 37.15 6.51 -12.37
22.90 37.15 6.53 -12.39
22.95 37.15 6.55 -12.39
23.00 37.15 6.58 -12.43
23.05 37.15 6.59 -12.52
21.50 37.20 4.04 -10.41
21.55 37.20 4.04 -10.63
21.60 37.20 4.06 -10.82
21.65 37.20 4.07 -10.99
21.70 37.20 4.09 -11.13
21.75 37.20 4.12 -11.25
21.80 37.20 4.17 -11.35
21.85 37.20 4.25 -11.45
21.90 37.20 4.33 -11.55
21.95 37.20 4.43 -11.66
22.00 37.20 4.62 -11.70
22.05 37.20 4.86 -11.66
22.10 37.20 5.10 -11.59
22.15 37.20 5.29 -11.54
22.20 37.20 5.40 -11.53
22.25 37.20 5.55 -11.49
22.30 37.20 5.73 -11.53
22.35 37.20 5.89 -11.57
22.40 37.20 6.02 -11.63
22.45 37.20 6.12 -11.71
22.50 37.20 6.17 -11.79
22.55 37.20 6.25 -11.87
22.60 37.20 6.32 -11.95
22.65 37.20 6.39 -12.02
22.70 37.20 6.45 -12.09
22.75 37.20 6.50 -12.18
22.80 37.20 6.56 -12.29
22.85 37.20 6.63 -12.38
22.90 37.20 6.66 -12.38
22.95 37.20 6.68 -12.37
23.00 37.20 6.72 -12.38
23.05 37.20 6.76 -12.39
23.10 37.20 6.84 -12.35
23.15 37.20 6.86 -12.34
21.50 37.25 4.30 -10.40
21.55 37.25 4.32 -10.55
21.60 37.25 4.34 -10.68
21.65 37.25 4.34 -10.83
21.70 37.25 4.34 -10.99
21.75 37.25 4.35 -11.14
21.80 37.25 4.37 -11.25
21.85 37.25 4.43 -11.34
21.90 37.25 4.55 -11.47
21.95 37.25 4.68 -11.56
22.00 37.25 4.86 -11.61
22.05 37.25 5.05 -11.61
22.10 37.25 5.24 -11.57
22.15 37.25 5.41 -11.52
22.20 37.25 5.57 -11.49
22.25 37.25 5.72 -11.49
22.30 37.25 5.88 -11.51
22.35 37.25 6.01 -11.54
22.40 37.25 6.10 -11.60
22.45 37.25 6.19 -11.68
22.50 37.25 6.27 -11.76
22.55 37.25 6.35 -11.84
22.60 37.25 6.43 -11.92
22.65 37.25 6.50 -12.00
22.70 37.25 6.56 -12.08
22.75 37.25 6.61 -12.17
22.80 37.25 6.70 -12.29
22.85 37.25 6.75 -12.41
22.90 37.25 6.73 -12.35
22.95 37.25 6.77 -12.32
23.00 37.25 6.81 -12.32
23.05 37.25 6.85 -12.32
23.10 37.25 6.89 -12.33
23.15 37.25 6.93 -12.37
23.20 37.25 7.01 -12.32
21.55 37.30 4.52 -10.47
21.60 37.30 4.56 -10.54
21.65 37.30 4.58 -10.66
21.70 37.30 4.59 -10.84
21.75 37.30 4.60 -11.01
21.80 37.30 4.59 -11.25
21.85 37.30 4.66 -11.37
21.90 37.30 4.79 -11.41
21.95 37.30 4.95 -11.48
22.00 37.30 5.11 -11.53
22.05 37.30 5.27 -11.54
22.10 37.30 5.42 -11.51
22.15 37.30 5.58 -11.47
22.20 37.30 5.73 -11.45
22.25 37.30 5.88 -11.45
22.30 37.30 6.02 -11.47
22.35 37.30 6.12 -11.51
22.40 37.30 6.20 -11.58
22.45 37.30 6.28 -11.65
22.50 37.30 6.36 -11.74
22.55 37.30 6.45 -11.82
22.60 37.30 6.53 -11.90
22.65 37.30 6.60 -11.98
22.70 37.30 6.66 -12.06
22.75 37.30 6.71 -12.13
22.80 37.30 6.76 -12.21
22.85 37.30 6.78 -12.25
22.90 37.30 6.81 -12.27
22.95 37.30 6.85 -12.26
23.00 37.30 6.89 -12.26
23.05 37.30 6.93 -12.26
23.10 37.30 6.97 -12.28
23.15 37.30 6.99 -12.30
23.20 37.30 7.03 -12.26
23.25 37.30 7.17 -12.15
23.30 37.30 7.17 -12.08
23.35 37.30 7.15 -12.05
23.40 37.30 7.13 -12.05
23.45 37.30 7.12 -12.05
23.50 37.30 7.12 -12.06
21.60 37.35 4.84 -10.27
21.65 37.35 4.85 -10.49
21.70 37.35 4.87 -10.68
21.75 37.35 4.89 -10.87
21.80 37.35 4.91 -11.06
21.85 37.35 4.95 -11.24
21.90 37.35 5.06 -11.36
21.95 37.35 5.21 -11.43
22.00 37.35 5.36 -11.46
22.05 37.35 5.48 -11.46
22.10 37.35 5.60 -11.43
22.15 37.35 5.75 -11.40
22.20 37.35 5.90 -11.39
22.25 37.35 6.04 -11.40
22.30 37.35 6.15 -11.43
22.35 37.35 6.24 -11.50
22.40 37.35 6.31 -11.56
22.45 37.35 6.39 -11.64
22.50 37.35 6.47 -11.71
22.55 37.35 6.54 -11.79
22.60 37.35 6.62 -11.87
22.65 37.35 6.74 -11.96
22.70 37.35 6.76 -12.02
22.75 37.35 6.79 -12.07
22.80 37.35 6.82 -12.12
22.85 37.35 6.85 -12.16
22.90 37.35 6.89 -12.18
22.95 37.35 6.93 -12.19
23.00 37.35 6.97 -12.19
23.05 37.35 7.01 -12.20
23.10 37.35 7.04 -12.21
23.15 37.35 7.07 -12.21
23.20 37.35 7.09 -12.18
23.25 37.35 7.12 -12.13
23.30 37.35 7.13 -12.07
23.35 37.35 7.14 -12.05
23.40 37.35 7.13 -12.05
23.45 37.35 7.12 -12.06
23.50 37.35 7.12 -12.07
23.55 37.35 7.11 -12.07
21.60 37.40 5.11 -10.14
21.65 37.40 5.11 -10.33
21.70 37.40 5.14 -10.52
21.75 37.40 5.17 -10.71
21.80 37.40 5.20 -10.93
21.85 37.40 5.23 -11.15
21.90 37.40 5.30 -11.35
21.95 37.40 5.43 -11.36
22.00 37.40 5.54 -11.35
22.05 37.40 5.64 -11.34
22.10 37.40 5.78 -11.33
22.15 37.40 5.93 -11.33
22.20 37.40 6.07 -11.31
22.25 37.40 6.18 -11.34
22.30 37.40 6.27 -11.40
22.35 37.40 6.36 -11.47
22.40 37.40 6.43 -11.54
22.45 37.40 6.50 -11.61
22.50 37.40 6.57 -11.69
22.55 37.40 6.63 -11.76
22.60 37.40 6.69 -11.83
22.65 37.40 6.76 -11.89
22.70 37.40 6.81 -11.95
22.75 37.40 6.85 -12.00
22.80 37.40 6.90 -12.05
22.85 37.40 6.94 -12.08
22.90 37.40 6.98 -12.10
22.95 37.40 7.02 -12.12
23.00 37.40 7.06 -12.13
23.05 37.40 7.09 -12.13
23.10 37.40 7.11 -12.13
23.15 37.40 7.13 -12.13
23.20 37.40 7.14 -12.12
23.25 37.40 7.14 -12.08
23.30 37.40 7.15 -12.05
23.35 37.40 7.14 -12.04
23.40 37.40 7.14 -12.04
23.45 37.40 7.13 -12.05
23.50 37.40 7.12 -12.07
23.55 37.40 7.11 -12.08
21.55 37.45 5.24 -9.62
21.60 37.45 5.30 -9.95
21.65 37.45 5.35 -10.22
21.70 37.45 5.40 -10.39
21.75 37.45 5.44 -10.55
21.80 37.45 5.48 -10.75
21.85 37.45 5.52 -10.98
21.90 37.45 5.55 -11.26
21.95 37.45 5.61 -11.23
22.00 37.45 5.71 -11.21
22.05 37.45 5.85 -11.19
22.10 37.45 5.98 -11.20
22.15 37.45 6.11 -11.21
22.20 37.45 6.23 -11.22
22.25 37.45 6.32 -11.28
22.30 37.45 6.41 -11.35
22.35 37.45 6.49 -11.43
22.40 37.45 6.56 -11.51
22.45 37.45 6.62 -11.58
22.50 37.45 6.68 -11.66
22.55 37.45 6.73 -11.73
22.60 37.45 6.78 -11.80
22.65 37.45 6.84 -11.85
22.70 37.45 6.88 -11.90
22.75 37.45 6.93 -11.94
22.80 37.45 6.98 -11.98
22.85 37.45 7.03 -12.01
22.90 37.45 7.08 -12.03
22.95 37.45 7.12 -12.05
23.00 37.45 7.16 -12.06
23.05 37.45 7.19 -12.07
23.10 37.45 7.21 -12.07
23.15 37.45 7.22 -12.06
23.20 37.45 7.21 -12.04
23.25 37.45 7.21 -12.04
23.30 37.45 7.19 -12.01
23.35 37.45 7.19 -12.02
23.40 37.45 7.19 -12.04
23.45 37.45 7.13 -12.05
23.50 37.45 7.13 -12.07
23.55 37.45 7.14 -12.12
21.45 37.50 5.39 -8.81
21.50 37.50 5.38 -9.09
21.55 37.50 5.50 -9.47
21.60 37.50 5.55 -9.80
21.65 37.50 5.60 -10.14
21.70 37.50 5.64 -10.23
21.75 37.50 5.69 -10.38
21.80 37.50 5.74 -10.54
21.85 37.50 5.78 -10.73
21.90 37.50 5.83 -10.88
21.95 37.50 5.86 -10.99
22.00 37.50 5.96 -11.01
22.05 37.50 6.08 -11.02
22.10 37.50 6.20 -11.04
22.15 37.50 6.31 -11.07
22.20 37.50 6.41 -11.14
22.25 37.50 6.49 -11.22
22.30 37.50 6.57 -11.30
22.35 37.50 6.66 -11.37
22.40 37.50 6.71 -11.46
22.45 37.50 6.76 -11.55
22.50 37.50 6.81 -11.61
22.55 37.50 6.84 -11.69
22.60 37.50 6.88 -11.76
22.65 37.50 6.92 -11.79
22.70 37.50 6.96 -11.83
22.75 37.50 7.03 -11.89
22.80 37.50 7.09 -11.92
22.85 37.50 7.13 -11.95
22.90 37.50 7.18 -11.97
22.95 37.50 7.23 -11.98
23.00 37.50 7.27 -11.99
23.05 37.50 7.30 -12.01
23.10 37.50 7.32 -12.02
23.15 37.50 7.33 -12.01
23.20 37.50 7.33 -11.99
23.25 37.50 7.33 -11.99
23.30 37.50 7.33 -11.99
23.35 37.50 7.32 -12.01
23.40 37.50 7.31 -12.01
23.45 37.50 7.30 -11.99
23.50 37.50 7.27 -12.03
23.55 37.50 7.26 -12.14
21.35 37.55 5.26 -7.93
21.40 37.55 5.29 -8.32
21.45 37.55 5.56 -8.74
21.50 37.55 5.68 -9.03
21.55 37.55 5.75 -9.30
21.60 37.55 5.81 -9.58
21.65 37.55 5.86 -9.82
21.70 37.55 5.89 -10.02
21.75 37.55 5.93 -10.17
21.80 37.55 5.98 -10.33
21.85 37.55 6.03 -10.49
21.90 37.55 6.07 -10.63
21.95 37.55 6.12 -10.74
22.00 37.55 6.22 -10.80
22.05 37.55 6.32 -10.84
22.10 37.55 6.43 -10.88
22.15 37.55 6.53 -10.96
22.20 37.55 6.60 -11.07
22.25 37.55 6.67 -11.17
22.30 37.55 6.74 -11.25
22.35 37.55 6.82 -11.33
22.40 37.55 6.86 -11.42
22.45 37.55 6.90 -11.51
22.50 37.55 6.93 -11.59
22.55 37.55 6.96 -11.66
22.60 37.55 7.00 -11.72
22.65 37.55 7.03 -11.77
22.70 37.55 7.09 -11.81
22.75 37.55 7.16 -11.86
22.80 37.55 7.19 -11.87
22.85 37.55 7.24 -11.89
22.90 37.55 7.29 -11.90
22.95 37.55 7.35 -11.92
23.00 37.55 7.40 -11.95
23.05 37.55 7.43 -11.96
23.10 37.55 7.46 -11.97
23.15 37.55 7.48 -11.96
23.20 37.55 7.49 -11.95
23.25 37.55 7.49 -11.94
23.30 37.55 7.48 -11.94
23.35 37.55 7.46 -12.00
23.40 37.55 7.43 -12.05
23.45 37.55 7.45 -11.92
23.50 37.55 7.44 -11.95
23.55 37.55 7.44 -12.06
21.25 37.60 5.21 -6.26
21.30 37.60 5.26 -7.10
21.35 37.60 5.54 -7.81
21.40 37.60 5.64 -8.27
21.45 37.60 5.77 -8.65
21.50 37.60 5.91 -8.96
21.55 37.60 6.00 -9.20
21.60 37.60 6.07 -9.41
21.65 37.60 6.12 -9.63
21.70 37.60 6.15 -9.81
21.75 37.60 6.18 -9.97
21.80 37.60 6.23 -10.12
21.85 37.60 6.28 -10.26
21.90 37.60 6.34 -10.39
21.95 37.60 6.40 -10.50
22.00 37.60 6.49 -10.59
22.05 37.60 6.58 -10.66
22.10 37.60 6.67 -10.74
22.15 37.60 6.74 -10.87
22.20 37.60 6.80 -11.00
22.25 37.60 6.86 -11.11
22.30 37.60 6.92 -11.22
22.35 37.60 6.98 -11.31
22.40 37.60 7.03 -11.40
22.45 37.60 7.06 -11.48
22.50 37.60 7.08 -11.56
22.55 37.60 7.10 -11.62
22.60 37.60 7.13 -11.69
22.65 37.60 7.18 -11.76
22.70 37.60 7.25 -11.86
22.75 37.60 7.23 -11.82
22.80 37.60 7.28 -11.81
22.85 37.60 7.33 -11.83
22.90 37.60 7.39 -11.84
22.95 37.60 7.46 -11.86
23.00 37.60 7.53 -11.93
23.05 37.60 7.59 -12.00
23.10 37.60 7.60 -11.94
23.15 37.60 7.62 -11.94
23.20 37.60 7.63 -11.90
23.25 37.60 7.64 -11.85
23.30 37.60 7.64 -11.84
23.35 37.60 7.64 -11.87
23.40 37.60 7.62 -11.85
23.45 37.60 7.62 -11.78
23.50 37.60 7.62 -11.82
23.55 37.60 7.62 -11.93
20.70 37.65 8.32 1.90
20.75 37.65 8.30 1.36
20.80 37.65 8.19 0.80
20.85 37.65 8.05 0.18
20.90 37.65 7.88 -0.45
20.95 37.65 7.70 -1.08
21.00 37.65 7.51 -1.70
21.05 37.65 7.32 -2.33
21.10 37.65 7.17 -2.97
21.15 37.65 7.04 -3.65
21.20 37.65 6.87 -4.56
21.25 37.65 6.46 -5.96
21.30 37.65 6.14 -7.04
21.35 37.65 6.03 -7.71
21.40 37.65 5.99 -8.24
21.45 37.65 5.93 -8.71
21.50 37.65 6.08 -8.93
21.55 37.65 6.21 -9.10
21.60 37.65 6.30 -9.30
21.65 37.65 6.36 -9.49
21.70 37.65 6.40 -9.66
21.75 37.65 6.44 -9.82
21.80 37.65 6.51 -9.96
21.85 37.65 6.57 -10.06
21.90 37.65 6.63 -10.16
21.95 37.65 6.70 -10.26
22.00 37.65 6.76 -10.38
22.05 37.65 6.84 -10.49
22.10 37.65 6.91 -10.62
22.15 37.65 6.96 -10.77
22.20 37.65 7.02 -10.92
22.25 37.65 7.07 -11.07
22.30 37.65 7.13 -11.19
22.35 37.65 7.18 -11.29
22.40 37.65 7.24 -11.36
22.45 37.65 7.26 -11.44
22.50 37.65 7.25 -11.51
22.55 37.65 7.26 -11.57
22.60 37.65 7.26 -11.63
22.65 37.65 7.27 -11.70
22.70 37.65 7.24 -11.75
22.75 37.65 7.29 -11.76
22.80 37.65 7.34 -11.75
22.85 37.65 7.40 -11.76
22.90 37.65 7.48 -11.79
22.95 37.65 7.55 -11.81
23.00 37.65 7.61 -11.85
23.05 37.65 7.65 -11.87
23.10 37.65 7.68 -11.87
23.15 37.65 7.76 -11.90
23.20 37.65 7.74 -11.81
23.25 37.65 7.74 -11.74
23.30 37.65 7.76 -11.71
23.35 37.65 7.79 -11.69
23.40 37.65 7.82 -11.63
23.45 37.65 7.82 -11.60
23.50 37.65 7.81 -11.63
23.55 37.65 7.81 -11.74
23.90 37.65 8.08 -11.20
23.95 37.65 8.07 -11.32
24.00 37.65 8.06 -11.41
24.05 37.65 8.04 -11.50
24.10 37.65 8.03 -11.59
